Date,Volume
2019/11/18,21083613816 
2019/11/17,21579470673 
2019/11/16,18668638897 
2019/11/15,16495389808 
2019/11/14,21796856471 
2019/11/13,19084739975 
2019/11/12,17545755405 
2019/11/11,20309769107 
2019/11/10,20265510765 
2019/11/9,20587919881 
2019/11/8,17578630606 
2019/11/7,24333037836 
2019/11/6,22700383839 
2019/11/5,23133895765 
2019/11/4,26198609048 
2019/11/3,26170255634 
2019/11/2,21132220847 
2019/11/1,21242676385 
2019/10/31,24324691031 
2019/10/30,26583653947 
2019/10/29,27706531577 
2019/10/28,28426779937 
2019/10/27,30948255332 
2019/10/26,32593129501 
2019/10/25,44496255609 
2019/10/24,28705065488 
2019/10/23,16268708849 
2019/10/22,21942878958 
2019/10/21,16803377857 
2019/10/20,15868748866 
2019/10/19,15504249442 
2019/10/18,13797825640 
2019/10/17,15651592610 
2019/10/16,14313052244 
2019/10/15,16071646996 
2019/10/14,15220412632 
2019/10/13,15151387859 
2019/10/12,13808286059 
2019/10/11,14532641605 
2019/10/10,19604381101 
2019/10/9,17618660671 
2019/10/8,19384942333 
2019/10/7,15592264032 
2019/10/6,18009742607 
2019/10/5,13160830305 
2019/10/4,12200497197 
2019/10/3,13139456229 
2019/10/2,13668823409 
2019/10/1,13125712443 
2019/9/30,15305343413 
2019/9/29,17115474183 
2019/9/28,13034629109 
2019/9/27,14141152736 
2019/9/26,16408941156 
2019/9/25,19258205289 
2019/9/24,21744728353 
2019/9/23,25002886689 
2019/9/22,15144925408 
2019/9/21,13199651698 
2019/9/20,13425266806 
2019/9/19,14734189639 
2019/9/18,19937691247 
2019/9/17,16169268880 
2019/9/16,15304603363 
2019/9/15,15160167779 
2019/9/14,12043433567 
2019/9/13,13468713124 
2019/9/12,14109864675 
2019/9/11,15323563925 
2019/9/10,15428063426 
2019/9/9,14906809639 
2019/9/8,17595943368 
2019/9/7,13670567493 
2019/9/6,15307366476 
2019/9/5,19536574783 
2019/9/4,14551239508 
2019/9/3,16742664769 
2019/9/2,19384917989 
2019/9/1,17248102294 
2019/8/31,11445355859 
2019/8/30,11454806419 
2019/8/29,13595263986 
2019/8/28,17045878501 
2019/8/27,17603790323 
2019/8/26,14762609503 
2019/8/25,18438654080 
2019/8/24,14153856610 
2019/8/23,15451030650 
2019/8/22,15627023886 
2019/8/21,17097508856 
2019/8/20,19473084768 
2019/8/19,15053082175 
2019/8/18,16038264603 
2019/8/17,12999813869 
2019/8/16,13778035685 
2019/8/15,20228207096 
2019/8/14,22899115082 
2019/8/13,19990838300 
2019/8/12,16681503537 
2019/8/11,13647198229 
2019/8/10,15774371518 
2019/8/9,18125355447 
2019/8/8,18339989960 
2019/8/7,19481591730 
2019/8/6,22194988641 
2019/8/5,23635107660 
2019/8/4,23875988832 
2019/8/3,16530894787 
2019/8/2,15352685061 
2019/8/1,17489094082 
2019/7/31,17165337858 
2019/7/30,16631520648 
2019/7/29,13829811132 
2019/7/28,13791445323 
2019/7/27,13738687093 
2019/7/26,16817809536 
2019/7/25,14495714483 
2019/7/24,15821952090 
2019/7/23,17398734322 
2019/7/22,17851916995 
2019/7/21,16334414913 
2019/7/20,17130580467 
2019/7/19,20206615155 
2019/7/18,20727426310 
2019/7/17,25187024648 
2019/7/16,24569921549 
2019/7/15,24151199070 
2019/7/14,25384047207 
2019/7/13,22486000001 
2019/7/12,21042616384 
2019/7/11,23534692797 
2019/7/10,28595327690 
2019/7/9,33627574244 
2019/7/8,28167921523 
2019/7/7,23482551458 
2019/7/6,19369044277 
2019/7/5,21092024306 
2019/7/4,23838480210 
2019/7/3,25920294033 
2019/7/2,30796494294 
